citty-geonameid|city-name|country|subcountry|
3041732|Mariehamn|Aland Islands|Mariehamns stad|
3579132|Gustavia|Saint Barthelemy|N/A|
1820071|Tutong|Brunei|Tutong|
3901178|Yacuiba|Bolivia|Tarija|
3513563|Kralendijk|Bonaire, Saint Eustatius and Saba|Bonaire|
7304591|West Island|Cocos Islands|N/A|
203717|Yangambi|Democratic Republic of the Congo|Eastern Province|
2255285|Sibiti|Republic of the Congo|Lékoumou|
2279172|Zuénoula|Ivory Coast|Marahoué|
3513090|Willemstad|Curacao|N/A|
3426691|Stanley|Falkland Islands|N/A|
2081986|Palikir - National Government Center|Micronesia|Pohnpei|
14256|Āzādshahr|Iran|Hamadān|
1866569|Yŏnan-ŭp|North Korea|Hwanghae-namdo|
1832015|Heung-hai|South Korea|Gyeongsangbuk-do|
1651944|Vientiane|Laos|Vientiane|
617076|Edineţ|Moldova|Raionul Edineţ|
3578851|Marigot|Saint Martin|N/A|
783926|Желино|Macedonia|Želino|
281102|Rafaḩ|Palestinian Territory|Gaza Strip|
935214|Saint-Pierre|Reunion|Réunion|
452949|Udomlya|Russia|Tverskaya|
3370903|Jamestown|Saint Helena|Saint Helena|
3513392|Philipsburg|Sint Maarten|N/A|
162627|Yabrūd|Syria|Rif-dimashq|
1626459|Suai|East Timor|Cova Lima|
1665196|Douliu|Taiwan|Taiwan|
148730|Zanzibar|Tanzania|Zanzibar Urban/West|
6691831|Vatican City|Vatican|N/A|
3480908|La Asunción|Venezuela|Nueva Esparta|
3577430|Road Town|British Virgin Islands|N/A|
4795467|Charlotte Amalie|U.S. Virgin Islands|Saint Thomas Island|
1560037|Yên Vinh|Vietnam|Nghệ An|
783770|Zvečan|Kosovo|Mitrovica|
